division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Arith,LRA,sat,<=24s,no,392.837784,389.8487492,340,2021-z3
Arith,LRA,sat,>=24s,no,5085.0772,5069.9767,29,2021-z3
Arith,LRA,starexec-unknown,>=24s,no,87600.0,87600.0,73,2021-z3
Arith,LRA,unsat,<=24s,no,913.107601,899.1927125,469,2021-z3
Arith,LRA,unsat,>=24s,no,31993.2772,31995.5632,102,2021-z3
Arith,NIA,sat,<=24s,no,6.616477,6.6214938,61,2021-z3
Arith,NIA,starexec-unknown,<=24s,no,150.052223,150.0705459,81,2021-z3
Arith,NIA,starexec-unknown,>=24s,no,81165.1533,81165.3922,73,2021-z3
Arith,NIA,unsat,<=24s,no,34.777387000000004,34.7824511,32,2021-z3
Arith,NIA,unsat,>=24s,no,76.5656,76.5724,1,2021-z3
Arith,NRA,sat,<=24s,no,0.078373,0.078542,3,2021-z3
Arith,NRA,starexec-unknown,>=24s,no,8479.472,8479.689,8,2021-z3
Arith,NRA,unsat,<=24s,no,1.853453,1.8611367,86,2021-z3
Arith,NRA,unsat,>=24s,no,581.098,581.0930000000001,2,2021-z3
FPArith,BVFP,sat,<=24s,no,26.1315,26.1391655,135,2022-Bitwuzla
FPArith,BVFP,sat,>=24s,no,1615.2259999999999,1615.5508,3,2022-Bitwuzla
FPArith,BVFP,starexec-unknown,<=24s,no,0.065408,0.0654289,1,2022-Bitwuzla
FPArith,BVFP,starexec-unknown,>=24s,no,66000.0,66000.0,55,2022-Bitwuzla
FPArith,BVFP,unsat,<=24s,no,67.568211,67.570734,12,2022-Bitwuzla
FPArith,BVFP,unsat,>=24s,no,295.07,295.129,2,2022-Bitwuzla
FPArith,BVFPLRA,sat,<=24s,no,46.5229,46.5773822,147,2022-Bitwuzla
FPArith,BVFPLRA,sat,>=24s,no,447.877,447.888,1,2022-Bitwuzla
FPArith,BVFPLRA,starexec-unknown,<=24s,no,2.5862939999999996,2.5880761,3,2022-Bitwuzla
FPArith,BVFPLRA,starexec-unknown,>=24s,no,109200.0,109200.0,91,2022-Bitwuzla
FPArith,BVFPLRA,unsat,<=24s,no,4.528106,4.5320403,24,2022-Bitwuzla
FPArith,FP,sat,<=24s,no,172.961628,172.97420110000002,39,2022-Bitwuzla
FPArith,FP,sat,>=24s,no,15511.7171,15490.6229,80,2022-Bitwuzla
FPArith,FP,starexec-unknown,>=24s,no,96000.0,96000.0,80,2022-Bitwuzla
FPArith,FP,unsat,<=24s,no,756.680297,750.3341692,1076,2022-Bitwuzla
FPArith,FP,unsat,>=24s,no,13281.0461,13282.9547,59,2022-Bitwuzla
FPArith,FPLRA,sat,<=24s,no,27.013641999999997,27.0204486,25,2022-Bitwuzla
FPArith,FPLRA,sat,>=24s,no,783.072,783.126,2,2022-Bitwuzla
FPArith,FPLRA,starexec-unknown,>=24s,no,16800.0,16800.0,14,2022-Bitwuzla
QF_Equality+Bitvec,QF_ABV,sat,<=24s,no,692.552639,692.55877334,749,2022-Bitwuzla
