benchmark_id,cpu_time,wallclock_time,result
16582608,1200.0,1200.0,starexec-unknown
16582609,1200.0,1200.0,starexec-unknown
16582610,1200.0,1200.0,starexec-unknown
16582611,0.485189,0.206763,unsat
16582617,1200.0,1200.0,starexec-unknown
16582619,1200.0,1200.0,starexec-unknown
16582620,0.06778,0.053966,unsat
16582622,1200.0,1200.0,starexec-unknown
16582625,1200.0,1200.0,starexec-unknown
16582627,54.5703,18.4226,unsat
16582632,0.120029,0.0788661,unsat
16582635,0.066173,0.05238,unsat
16582637,0.067178,0.052661,unsat
16582638,0.12375,0.0799429,unsat
16582639,0.105027,0.0810391,unsat
16582640,0.085938,0.062223,unsat
16582641,0.090363,0.066126,unsat
16582643,0.126002,0.079056,unsat
16582644,0.096972,0.0670089,unsat
16582645,0.085662,0.062145,unsat
16582646,0.145841,0.086955,unsat
16582648,0.081175,0.058135,unsat
16582650,0.065484,0.053565,unsat
16582651,0.086767,0.063135,unsat
16582652,0.121986,0.0790449,unsat
16582656,1200.0,1200.0,starexec-unknown
16582657,1200.0,1200.0,starexec-unknown
16582658,0.064529,0.0503041,unsat
16582659,1200.0,1200.0,starexec-unknown
16582660,0.072439,0.055632,unsat
16582662,0.085285,0.0628179,unsat
16582663,0.117955,0.078861,unsat
16582664,1200.0,1200.0,starexec-unknown
16582665,0.068672,0.05285,unsat
16582666,0.090899,0.0645349,unsat
16582670,1200.0,1200.0,starexec-unknown
16582671,1200.0,1200.0,starexec-unknown
16582672,0.087152,0.0619781,unsat
16582675,0.091195,0.0642009,unsat
16582678,0.067829,0.0523599,unsat
16582680,0.068361,0.051371,unsat
16582683,0.110947,0.074918,unsat
16582686,0.085582,0.062013,unsat
16582687,0.062632,0.050528,unsat
16582690,0.066296,0.052156,unsat
16582693,0.142064,0.0846021,unsat
16582695,0.097289,0.067068,unsat
16582698,1200.0,1200.0,starexec-unknown
16582701,1200.0,1200.0,starexec-unknown
16582702,0.066744,0.0526481,unsat
16582703,1200.0,1200.0,starexec-unknown
16582704,1200.0,1200.0,starexec-unknown
16582707,83.9392,28.0707,unsat
16582712,0.085164,0.0634211,unsat
16582716,0.147864,0.1068,unsat
16582718,0.166337,0.116993,unsat
16582719,0.102172,0.0802371,unsat
16582720,1200.0,1200.0,starexec-unknown
16582721,1200.0,1200.0,starexec-unknown
16582722,0.06614,0.0509021,unsat
16582723,0.077093,0.0563631,unsat
16582726,1200.0,1200.0,starexec-unknown
16582727,0.086757,0.0631399,unsat
16582729,1200.0,1200.0,starexec-unknown
16582730,0.117814,0.0760431,unsat
16582731,0.070083,0.053915,unsat
16582732,1200.0,1200.0,starexec-unknown
16582734,0.062025,0.0508029,unsat
16582737,0.062774,0.0520731,unsat
16582738,0.093441,0.069159,unsat
16582743,0.064936,0.053843,unsat
16582744,0.112113,0.0751661,unsat
16582747,1200.0,1200.0,starexec-unknown
16582748,0.111779,0.0873501,unsat
16582751,0.093015,0.0701831,unsat
16582753,1200.0,1200.0,starexec-unknown
16582756,1200.0,1200.0,starexec-unknown
16582759,0.062784,0.051598,unsat
16582760,0.136771,0.102531,unsat
16582765,20.3462,7.32881,unsat
16582766,0.108772,0.0895379,unsat
16582768,0.073858,0.057348,unsat
16582769,0.063846,0.0522781,unsat
16582771,0.086313,0.0663251,unsat
16582772,0.090268,0.0660841,unsat
16582773,0.076208,0.0610829,unsat
16582775,1200.0,1200.0,starexec-unknown
16582777,0.064237,0.0524541,unsat
16582778,0.079038,0.0582381,unsat
16582779,0.073563,0.0588949,unsat
16582780,0.109444,0.07511,unsat
16582782,0.086206,0.062864,unsat
16582783,336.514,112.723,unsat
16582787,0.154207,0.0804839,unsat
16582793,0.08152,0.0550219,unsat
16582798,0.020256,0.0202921,unsat
16582802,0.020284,0.020326,unsat
16582819,1200.0,1200.0,starexec-unknown
16582820,0.020299,0.020332,unsat
16582823,5.37055,1.82677,unsat
16582840,10.02,3.38524,unsat
16582842,0.062847,0.0514111,unsat
16582853,0.214854,0.100061,unsat
16582858,1200.0,1200.0,starexec-unknown
16582862,0.02023,0.0202809,unsat
16582865,0.081925,0.05643,unsat
16582867,0.179767,0.0928729,unsat
16582868,0.094227,0.059612,unsat
16582879,0.737345,0.28166,unsat
16582881,0.074036,0.0513971,unsat
16582882,590.485,197.071,unsat
16582890,0.068804,0.049182,unsat
16582905,1200.0,1200.0,starexec-unknown
16582908,1200.0,1200.0,starexec-unknown
16582909,0.719677,0.269284,unsat
16582911,0.134545,0.0733409,unsat
16582916,0.09767,0.0606541,unsat
16582917,0.315433,0.136456,unsat
16582923,0.020487,0.02051,unsat
16582924,1200.0,1200.0,starexec-unknown
16582935,0.019811,0.0198491,unsat
16582936,0.020208,0.0202629,unsat
16582937,1200.0,1200.0,starexec-unknown
16582939,0.021618,0.0216541,unsat
16582946,0.089405,0.05804,unsat
16582947,1200.0,1200.0,starexec-unknown
16582948,0.085767,0.0585151,unsat
16582950,0.068495,0.050242,unsat
16582955,1200.0,1200.0,starexec-unknown
16582961,0.019771,0.0198221,unsat
16582963,0.020383,0.0204181,unsat
16582967,0.063818,0.0484721,unsat
16582977,0.09811,0.0611081,unsat
16582983,0.084533,0.0569431,unsat
16582985,14.5024,4.8751,unsat
16582988,0.083785,0.056665,unsat
16582996,0.020066,0.020116,unsat
16583009,0.10063,0.0621889,unsat
16583010,0.096305,0.0612111,unsat
16583013,0.186114,0.095838,unsat
16583016,0.086713,0.056584,unsat
16583028,1200.0,1200.0,starexec-unknown
16583038,0.069223,0.050925,unsat
16583046,0.087927,0.0595499,unsat
16583047,1200.0,1200.0,starexec-unknown
16583052,0.088448,0.0590021,unsat
16583058,0.085402,0.05643,unsat
16583059,0.085885,0.057649,unsat
16583064,0.588918,0.224842,unsat
16583065,0.114341,0.0691251,unsat
16583069,0.14433,0.0775561,unsat
16583070,22.0714,7.43848,unsat
16583072,0.098302,0.0597759,unsat
16583078,0.175072,0.0890481,unsat
16583080,0.019892,0.0199311,unsat
16583090,0.093073,0.0596489,unsat
16583106,0.063574,0.0513179,unsat
16583109,0.362634,0.152619,unsat
16583117,1200.0,1200.0,starexec-unknown
16583120,0.121203,0.07078,unsat
16583122,0.020349,0.0204019,unsat
16583126,1.15122,0.415589,unsat
16583131,0.068388,0.0538329,unsat
16583133,0.155235,0.08169,unsat
16583144,0.087784,0.0583071,unsat
16583146,0.140676,0.0774221,unsat
16583148,0.106883,0.0624291,unsat
16583150,1200.0,1200.0,starexec-unknown
16583157,0.019747,0.0197889,unsat
16583158,1200.0,1200.0,starexec-unknown
16583159,0.167947,0.084664,unsat
16583185,0.020525,0.0205729,unsat
16583186,0.639534,0.24334,unsat
16583190,0.06526,0.0531131,unsat
16583191,0.05998,0.0486659,unsat
16583201,0.087472,0.058023,unsat
16583206,1200.0,1200.0,starexec-unknown
16583209,0.297507,0.129041,unsat
16583220,0.07186,0.050294,unsat
16583222,0.181953,0.0899399,unsat
16583228,0.084771,0.057669,unsat
16583233,1200.0,1200.0,starexec-unknown
16583252,0.020273,0.02035,unsat
16583256,0.159639,0.0831189,unsat
16583257,0.062946,0.0501041,unsat
16583263,0.124114,0.0760191,unsat
16583264,0.072252,0.05171,unsat
16583268,38.8348,13.2488,unsat
16583271,0.083107,0.0551389,unsat
16583277,0.154651,0.08008,unsat
16583284,0.08378,0.0579701,unsat
16583304,0.075622,0.052887,unsat
16583307,0.079791,0.055704,unsat
16583310,0.019382,0.0194641,unsat
16583320,0.020452,0.020489,unsat
16583322,0.095716,0.0611369,unsat
16583328,0.020458,0.0204989,unsat
16583361,156.305,52.5082,unsat
16583370,1200.0,1200.0,starexec-unknown
16583383,0.150564,0.0993639,unsat
16583384,0.110615,0.0667051,unsat
16583388,0.026642,0.026726,unsat
16583390,5.39608,3.76278,unsat
16583394,0.034512,0.034585,sat
16583399,0.864309,0.864514,sat
16583411,2.10284,2.1029,unsat
16583426,2.71653,2.71657,unsat
16583428,1200.0,1200.0,starexec-unknown
16583429,3.16355,1.14482,sat
16583431,0.025254,0.0252979,unsat
16583434,1.52696,1.52709,unsat
16583435,1.01971,1.01978,sat
16583438,1200.0,1200.0,starexec-unknown
16583440,0.032824,0.032905,sat
16583451,1200.0,1200.0,starexec-unknown
16583457,0.027731,0.0278,unsat
16583458,3.28651,1.2196,sat
16583459,2.89665,1.46441,unsat
16583462,0.02349,0.0235269,unsat
16583464,1.70682,1.707,unsat
16583477,2.75997,2.76019,unsat
16583495,0.030403,0.0304589,sat
16583503,6.95465,2.46223,sat
16583506,141.471,47.3509,sat
16583509,0.218779,0.102002,sat
16583510,0.186093,0.0936331,sat
16583511,56.7727,19.107,unsat
16583512,0.080473,0.055026,sat
16583514,0.073209,0.0510429,sat
16583518,10.8047,3.66992,unsat
16583519,2.46543,0.864139,sat
16583523,0.123725,0.084712,sat
16583526,1200.0,1200.0,starexec-unknown
16583527,0.099613,0.0635331,unsat
16583529,0.660925,0.257007,unsat
16583530,0.141947,0.076146,sat
16583531,48.4347,16.265,unsat
16583532,0.161129,0.081265,unsat
16583535,141.621,47.6095,sat
16583536,142.517,47.8208,sat
16583538,142.823,47.8109,sat
16583540,142.494,47.7146,sat
16583541,142.032,47.5118,sat
16583542,54.5361,18.4438,unsat
16583545,141.673,47.6961,sat
16583548,142.098,47.5413,sat
16583554,17.2057,5.81944,unsat
16583555,0.127534,0.0699629,unsat
16583559,0.072199,0.051484,sat
16583560,0.124125,0.0720019,sat
16583562,47.0814,16.241,unsat
16583563,0.225713,0.106056,sat
16583566,0.650576,0.302711,sat
16583567,0.154676,0.124933,unsat
16583568,0.145349,0.0798311,sat
16583569,0.099309,0.064062,unsat
16583571,1.65493,0.589097,unsat
16583573,0.118886,0.0788901,unsat
16583576,0.095357,0.062144,unsat
16583581,0.019486,0.019535,unsat
16583584,0.40321,0.333777,unsat
16583585,1200.0,1200.0,starexec-unknown
16583586,1200.0,1200.0,starexec-unknown
16583588,0.405038,0.173538,unsat
16583590,0.095779,0.0628641,unsat
16583591,0.336519,0.266556,sat
16583594,4.7869,1.64121,unsat
16583595,1200.0,1200.0,starexec-unknown
16583596,0.018846,0.0188789,unsat
16583598,1200.0,1200.0,starexec-unknown
16583599,0.322991,0.256469,unsat
16583600,0.289606,0.131905,unsat
16583602,0.298286,0.131214,unsat
16583603,2.69015,0.936738,unsat
16583604,0.521719,0.400498,sat
16583610,1200.0,1200.0,starexec-unknown
16583612,0.402791,0.167939,unsat
16583616,1200.0,1200.0,starexec-unknown
16583617,0.164708,0.115813,sat
16583619,2.16055,0.765183,unsat
16583620,0.134339,0.0723191,sat
16583625,0.794364,0.685046,sat
16583627,0.079614,0.0603991,unsat
16583629,0.019083,0.0191261,unsat
16583634,0.353854,0.152051,unsat
16583635,0.137342,0.0740971,sat
16583636,0.383087,0.312579,unsat
16583637,0.678788,0.382857,sat
16583638,1200.0,1200.0,starexec-unknown
16583639,1200.0,1200.0,starexec-unknown
16583640,1200.0,1200.0,starexec-unknown
16583642,0.256891,0.11792,unsat
16583643,1.32057,0.479975,unsat
16583646,0.361142,0.154367,sat
16583647,0.063589,0.0510781,unsat
16583648,0.070291,0.0512241,unsat
16583649,0.616387,0.277621,unsat
16583650,1200.0,1200.0,starexec-unknown
16583651,0.097678,0.0758631,unsat
16583654,0.147765,0.082333,sat
16583655,2.273,0.80969,unsat
16583656,0.296086,0.13111,unsat
16583657,0.115487,0.0823449,sat
16583658,0.10989,0.074675,sat
16583664,1200.0,1200.0,starexec-unknown
16583667,13.3066,4.48626,unsat
16583668,0.305835,0.137182,unsat
16583669,1200.0,1200.0,starexec-unknown
16583670,0.172358,0.101503,unsat
16583671,0.362796,0.152503,unsat
16583672,2.71371,0.94835,unsat
16583674,0.139511,0.0774191,sat
16583676,1200.0,1200.0,starexec-unknown
16583677,0.441737,0.219867,unsat
16583678,0.079172,0.0554641,unsat
16583679,1200.0,1200.0,starexec-unknown
16583683,4.02782,1.38517,unsat
16583685,0.673183,0.556895,sat
16583686,1200.0,1200.0,starexec-unknown
16583688,1200.0,1200.0,starexec-unknown
16583689,1.74602,0.625301,unsat
16583690,0.212793,0.114708,sat
16583694,1200.0,1200.0,starexec-unknown
16583698,2.92368,1.02001,unsat
16583699,0.381023,0.158631,unsat
16583700,2.20749,0.775848,unsat
16583702,0.017956,0.0179971,unsat
16583704,1200.0,1200.0,starexec-unknown
16583708,1200.0,1200.0,starexec-unknown
16583709,213.436,262.79,starexec-unknown
16583712,1200.0,1200.0,starexec-unknown
16583713,88.9063,30.2657,sat
16583715,1200.0,1200.0,starexec-unknown
16583718,1200.0,1200.0,starexec-unknown
16583720,1200.0,1200.0,starexec-unknown
16583727,1139.63,381.885,unsat
16583729,1200.0,1200.0,starexec-unknown
16583731,89.76,30.4417,unsat
16583740,0.456123,0.200979,unsat
16583741,304.043,102.437,unsat
16583743,0.105261,0.0692981,unsat
16583744,0.191351,0.0984341,unsat
16583745,0.248416,0.144065,unsat
16583747,0.080528,0.05753,sat
16583748,0.37904,0.165616,unsat
16583751,0.352265,0.158511,unsat
16583754,0.444497,0.180552,unsat
16583756,0.099616,0.064903,unsat
16583759,0.222507,0.10811,unsat
16583761,213.334,71.1991,unsat
16583765,0.185348,0.0954061,unsat
16583767,0.065403,0.050769,sat
16583768,0.111726,0.0807921,unsat
16583769,0.28775,0.126551,unsat
16583771,1200.0,1200.0,starexec-unknown
16583772,0.267432,0.121987,unsat
16583774,0.278109,0.12647,unsat
16583775,1200.0,1200.0,starexec-unknown
16583779,1200.0,1200.0,starexec-unknown
16583780,0.148818,0.0977919,unsat
16583781,0.445331,0.183285,unsat
16583784,0.226056,0.109056,unsat
16583785,0.219955,0.168191,unsat
16583786,0.341504,0.163362,unsat
16583787,3.49344,1.21277,unsat
16583788,0.552293,0.273963,unsat
16583789,0.07025,0.0498739,sat
16583790,1200.0,1200.0,starexec-unknown
16583795,0.127404,0.0806611,unsat
16583798,52.2175,17.5078,unsat
16583799,0.303821,0.137045,unsat
16583805,0.073837,0.053098,sat
16583806,1200.0,1200.0,starexec-unknown
16583807,0.253741,0.112729,unsat
16583808,0.064021,0.0510659,sat
16583809,0.272331,0.125389,unsat
16583810,0.201311,0.104011,unsat
16583812,1.34195,0.488028,unsat
16583816,0.064942,0.0498131,sat
16583817,0.27112,0.123932,unsat
16583821,0.159903,0.0907789,unsat
16583822,0.07977,0.0558461,unsat
16583823,0.199739,0.0985921,unsat
16583824,0.102373,0.0665171,unsat
16583825,0.674228,0.281051,unsat
16583826,0.127784,0.0818441,unsat
16583828,0.065945,0.0486721,sat
16583830,2.05591,1.10172,sat
16583831,10.9848,4.76051,sat
16583839,0.372462,0.289569,unsat
16583842,0.034845,0.0348871,sat
16583846,5.52583,2.6856,sat
16583847,8.50048,3.8531,unsat
16583850,9.70348,4.14912,sat
16583855,0.968589,0.634658,unsat
16583858,0.256006,0.153511,unsat
16583865,0.102609,0.0835501,sat
