benchmark_id,cpu_time,wallclock_time,result
16293337,1200.0,1200.0,starexec-unknown
16293338,1200.0,1200.0,starexec-unknown
16293358,1200.0,1200.0,starexec-unknown
16293398,1.96,0.654545,unsat
16293439,1.33,0.651102,unsat
16293457,3662.34,925.794,unsat
16293557,10.57,3.16428,unsat
16293564,1.04,0.652642,unsat
16293569,1.02,0.651209,unsat
16293592,1.0,0.651378,unsat
16293634,315.418,80.7705,unsat
16293707,1.0,0.649998,unsat
16293730,1.03,0.650593,unsat
16293749,2.03,0.678662,unsat
16293939,0.65226,0.651066,unsat
16293957,1200.0,1200.0,starexec-unknown
16293980,6.85,2.16001,unsat
16294040,1.42,0.651576,unsat
16294044,1.10913,0.651749,unsat
16294103,1200.0,1200.0,starexec-unknown
16294138,1200.0,1200.0,starexec-unknown
16294153,1.97,0.651193,unsat
16294181,1.03464,0.650004,unsat
16294198,1.29,0.65108,unsat
16294216,1.95,0.651619,unsat
16294282,1200.0,1200.0,starexec-unknown
16294295,0.99,0.661237,unsat
16294321,1.94,0.652171,unsat
16294360,1.98,0.653662,unsat
16294502,1.97,0.651083,unsat
16294557,2.01,0.650452,unsat
16294638,1.18,0.665981,unsat
16294757,1.96,0.651298,unsat
16294775,0.377339,0.651206,unsat
16294829,1200.0,1200.0,starexec-unknown
16294834,1200.0,1200.0,starexec-unknown
16294837,1.96,0.650722,unsat
16294840,3.39,1.15094,unsat
16294962,6.09046,2.16725,unsat
16295067,1200.0,1200.0,starexec-unknown
16295090,2.00169,0.653152,unsat
16295132,1.3,0.650995,unsat
16295139,0.310255,0.652479,unsat
16295159,1.05631,0.650262,unsat
16295191,1.99,0.651445,unsat
16295219,1200.0,1200.0,starexec-unknown
16295267,704.48,226.505,unsat
16295293,1.04441,0.649813,unsat
16295303,1.06,0.651477,unsat
16295319,1200.0,1200.0,starexec-unknown
16295437,0.312747,0.654586,unsat
16295654,3.69477,1.15289,unsat
16295756,1200.0,1200.0,starexec-unknown
16295774,1200.0,1200.0,starexec-unknown
16295811,3.55878,1.15354,unsat
16295816,1.04,0.651331,unsat
16295817,1.97,0.652923,unsat
16295836,1.0,0.652579,unsat
16295875,1.9836,0.651163,unsat
16295878,1.1,0.651808,unsat
16295919,1.04,0.650717,unsat
16295938,2.0162,0.651721,unsat
16295951,1.96,0.651731,unsat
16296001,1.29,0.652685,unsat
16296015,1.0,0.652268,unsat
16296032,238.32,61.2262,unsat
16296036,1.0741,0.650085,unsat
16296043,1.02,0.652628,unsat
16296055,1200.0,1200.0,starexec-unknown
16296058,26.64,7.16179,unsat
16296128,1366.41,346.996,unsat
16296172,0.81,0.651672,unsat
16296183,43.923,11.6736,unsat
16296301,1.45,0.650954,unsat
16296371,0.81,0.650194,unsat
16296381,3.77937,1.15287,unsat
16296540,1.05253,0.651051,unsat
16296565,61.4,16.1744,unsat
16296658,1200.0,1200.0,starexec-unknown
16296664,1200.0,1200.0,starexec-unknown
16296675,1.03985,0.650757,unsat
16296694,1.07691,0.651632,unsat
16296704,2.03548,0.650877,unsat
16296739,0.82,0.650456,unsat
16296766,1200.0,1200.0,starexec-unknown
16296827,1200.0,1200.0,starexec-unknown
16296851,1200.0,1200.0,starexec-unknown
16296853,6.83,2.16132,unsat
16296856,0.30901,0.651126,unsat
16296886,3.62,1.15295,unsat
16296889,1200.0,1200.0,starexec-unknown
16296899,0.307349,0.650662,unsat
16296982,1.01,0.650527,unsat
16297064,0.856032,0.651636,unsat
16297102,26.13,7.16763,unsat
16297152,1200.0,1200.0,starexec-unknown
16297153,1200.0,1200.0,starexec-unknown
16297154,1200.0,1200.0,starexec-unknown
16297155,4800.29,1198.86,starexec-unknown
16310382,1200.0,1200.0,starexec-unknown
16310383,1200.0,1200.0,starexec-unknown
16310384,1200.0,1200.0,starexec-unknown
16310385,2.30387,5.2643,starexec-unknown
16310386,1200.0,1200.0,starexec-unknown
16310393,3.87406,1.15251,unsat
16310395,4.59,1.65218,unsat
16328073,1200.0,1200.0,starexec-unknown
16328075,1200.0,1200.0,starexec-unknown
16328076,1200.0,1200.0,starexec-unknown
16328080,1200.0,1200.0,starexec-unknown
16328081,1200.0,1200.0,starexec-unknown
16328082,1200.0,1200.0,starexec-unknown
16328084,1200.0,1200.0,starexec-unknown
16328085,1200.0,1200.0,starexec-unknown
16328086,1200.0,1200.0,starexec-unknown
16328087,1200.0,1200.0,starexec-unknown
16328089,4800.05,1198.37,starexec-unknown
16328091,1200.0,1200.0,starexec-unknown
16328093,4800.07,1196.19,starexec-unknown
16328096,4800.35,1195.56,starexec-unknown
16328097,1200.0,1200.0,starexec-unknown
16328098,1200.0,1200.0,starexec-unknown
16328100,1200.0,1200.0,starexec-unknown
16328102,1200.0,1200.0,starexec-unknown
16328103,1200.0,1200.0,starexec-unknown
16328104,1200.0,1200.0,starexec-unknown
16328106,1200.0,1200.0,starexec-unknown
16328109,1200.0,1200.0,starexec-unknown
16328110,1200.0,1200.0,starexec-unknown
16328111,4800.37,1194.69,starexec-unknown
16328114,4800.87,1187.3,starexec-unknown
16328115,1200.0,1200.0,starexec-unknown
16328116,1200.0,1200.0,starexec-unknown
16328120,1200.0,1200.0,starexec-unknown
16328123,1200.0,1200.0,starexec-unknown
16328125,4800.07,1190.04,starexec-unknown
16328127,1200.0,1200.0,starexec-unknown
16328128,1200.0,1200.0,starexec-unknown
16328130,1200.0,1200.0,starexec-unknown
16328131,1200.0,1200.0,starexec-unknown
16328132,1200.0,1200.0,starexec-unknown
16328133,1200.0,1200.0,starexec-unknown
16328135,1200.0,1200.0,starexec-unknown
16328138,4800.4,1199.04,starexec-unknown
16328141,1200.0,1200.0,starexec-unknown
16328144,1200.0,1200.0,starexec-unknown
16328147,1200.0,1200.0,starexec-unknown
16328148,1200.0,1200.0,starexec-unknown
16328156,1200.0,1200.0,starexec-unknown
16328157,1200.0,1200.0,starexec-unknown
16328158,1200.0,1200.0,starexec-unknown
16328163,1200.0,1200.0,starexec-unknown
16328165,1200.0,1200.0,starexec-unknown
16328167,1200.0,1200.0,starexec-unknown
16328175,1200.0,1200.0,starexec-unknown
16328179,1200.0,1200.0,starexec-unknown
16328180,1200.0,1200.0,starexec-unknown
16328181,1200.0,1200.0,starexec-unknown
16328182,1200.0,1200.0,starexec-unknown
16328183,1200.0,1200.0,starexec-unknown
16328184,1200.0,1200.0,starexec-unknown
16328185,1200.0,1200.0,starexec-unknown
16328186,1200.0,1200.0,starexec-unknown
16328193,1200.0,1200.0,starexec-unknown
16328194,1200.0,1200.0,starexec-unknown
16328195,1200.0,1200.0,starexec-unknown
16328196,1200.0,1200.0,starexec-unknown
16328199,1200.0,1200.0,starexec-unknown
16328200,1200.0,1200.0,starexec-unknown
16328203,1200.0,1200.0,starexec-unknown
