benchmark_id,cpu_time,wallclock_time,result
14679925,0.029545,0.0294571,sat
14679926,1200.0,1200.0,starexec-unknown
14679927,0.071025,0.0709311,sat
14679932,0.304611,0.308098,sat
14679934,0.008291,0.011202,starexec-unknown
14679939,0.22334,0.221935,sat
14679941,0.219785,0.218156,sat
14679945,0.008656,0.0291821,starexec-unknown
14679951,0.008294,0.0107201,starexec-unknown
14679952,0.00811,0.010357,starexec-unknown
14679953,0.015276,0.023686,starexec-unknown
14679954,0.220631,0.218766,sat
14679958,0.03406,0.0340541,sat
14679959,0.026542,0.0264349,sat
14679962,221.416,217.353,unsat
14679963,0.289302,0.286144,sat
14679964,0.242079,0.245188,sat
14679967,0.026784,0.0266811,sat
14679968,0.026585,0.0264859,sat
14679969,0.008241,0.0238829,starexec-unknown
14679970,0.072585,0.072508,sat
14679971,0.239289,0.237603,sat
14679973,0.007726,0.012073,starexec-unknown
14679979,0.37614,0.380174,sat
14679980,0.216859,0.216346,sat
14679982,0.056972,0.0568811,sat
14679984,0.283331,0.280078,sat
14679985,0.007903,0.0119701,starexec-unknown
14679986,0.029496,0.029403,sat
14679987,0.046261,0.046173,sat
14679988,0.066117,0.066026,sat
14679990,0.239034,0.237086,sat
14679994,0.028045,0.0279479,sat
14679997,0.228358,0.225353,sat
14679998,0.468471,0.461986,sat
14679999,0.008538,0.0140299,starexec-unknown
14680001,0.032526,0.0324279,sat
14680004,0.065932,0.06582,sat
14680005,0.035293,0.035193,sat
14680006,0.008698,0.0217939,starexec-unknown
14680011,0.008275,0.011235,starexec-unknown
14680012,0.038515,0.0384959,sat
14680013,0.00822,0.012773,starexec-unknown
14680014,0.025231,0.02536,sat
14680015,0.042279,0.042591,sat
14680016,0.047687,0.047589,sat
14680019,0.02685,0.0267711,sat
14680020,0.038437,0.0383269,sat
14680023,0.008132,0.0105289,starexec-unknown
14680024,0.008153,0.0126809,starexec-unknown
14680025,0.01734,0.0184401,sat
14680026,0.020049,0.020033,sat
14680027,0.031027,0.0524041,sat
14680028,0.044567,0.045077,sat
14680030,0.017053,0.01706,sat
14680032,0.300579,0.298183,sat
14680034,570.947,571.114,unsat
14680037,0.050228,0.050126,sat
14680042,0.034099,0.033977,sat
14680048,0.06619,0.0660961,sat
14680049,0.068257,0.068165,sat
14680050,0.038376,0.0382499,sat
14680052,0.276374,0.27469,sat
14680053,0.032541,0.032574,sat
14680054,0.231523,0.22996,sat
14680057,0.008255,0.0119849,starexec-unknown
14680058,0.037712,0.037612,sat
14680060,0.049876,0.0497699,sat
14680063,0.222659,0.22073,sat
14680065,0.027477,0.027335,sat
14680068,0.017572,0.01754,sat
14680070,0.240521,0.253568,sat
14680072,0.285734,0.285227,sat
14680075,0.219274,0.217322,sat
14680076,0.072895,0.0728249,sat
14680079,0.008581,0.027653,starexec-unknown
14680082,0.008136,0.01081,starexec-unknown
14680085,0.229543,0.228316,sat
14680086,0.008354,0.0155041,starexec-unknown
14680089,0.215883,0.214627,sat
14680090,0.008199,0.0110069,starexec-unknown
14680091,0.008116,0.011113,starexec-unknown
14680092,0.008228,0.0103341,starexec-unknown
14680093,0.324185,0.319036,sat
14680094,0.241055,0.239359,sat
14680097,0.027345,0.027267,sat
14680099,0.049552,0.0494619,sat
14680100,0.008177,0.0118929,starexec-unknown
14680101,0.008,0.0128151,starexec-unknown
14680102,0.008209,0.0153859,starexec-unknown
14680104,0.257405,0.255593,sat
14680105,0.221042,0.21901,sat
14680106,0.067659,0.0675681,sat
14680108,0.037417,0.03741,sat
14680109,0.050596,0.050529,sat
14680111,0.215006,0.212748,sat
14680114,0.331624,0.328225,sat
14680115,0.008212,0.0122499,starexec-unknown
14680120,0.008244,0.0132519,starexec-unknown
14680122,0.224337,0.222958,sat
14680124,0.263697,0.261527,sat
14680125,0.029127,0.0297511,sat
14680128,0.31934,0.316497,sat
14680129,0.321738,0.325939,unsat
14680132,0.007855,0.0114751,starexec-unknown
14680134,0.008163,0.0151019,starexec-unknown
14680137,0.303436,0.314989,sat
14680139,0.07028,0.0701691,sat
14680140,0.224923,0.224212,sat
14680141,0.008776,0.011198,starexec-unknown
14680144,0.028951,0.0288491,sat
14680145,0.037695,0.037591,sat
14680148,0.068001,0.067904,sat
14680155,0.008205,0.0143671,starexec-unknown
14680159,0.008191,0.0122031,starexec-unknown
14680163,1200.0,1200.0,starexec-unknown
14680165,0.008449,0.012488,starexec-unknown
14680166,0.071616,0.0715371,sat
14680176,0.031257,0.0313171,unsat
14680178,0.029816,0.0298621,unsat
14680184,0.038265,0.038337,unsat
14680185,0.021868,0.0219409,unsat
14680187,1200.0,1200.0,starexec-unknown
14680191,1200.0,1200.0,starexec-unknown
14680192,1200.0,1200.0,starexec-unknown
14680193,0.06911,0.0701451,unsat
14680196,1200.0,1200.0,starexec-unknown
14680198,0.020361,0.020445,unsat
14680206,0.023279,0.023356,unsat
14680207,0.022901,0.0229519,unsat
14680216,1200.0,1200.0,starexec-unknown
14680220,0.030414,0.030478,unsat
14680222,0.036644,0.0366809,unsat
14680224,0.043555,0.0438899,unsat
14680225,1200.0,1200.0,starexec-unknown
14680226,0.036013,0.036068,unsat
14680228,1200.0,1200.0,starexec-unknown
14680232,1200.0,1200.0,starexec-unknown
14680234,0.031266,0.031334,unsat
14680238,0.059593,0.0603211,unsat
14680241,2.9425,2.94052,sat
14680242,1200.0,1200.0,starexec-unknown
14680243,1200.0,1200.0,starexec-unknown
14680245,1200.0,1200.0,starexec-unknown
14680249,0.019451,0.019512,unsat
14680252,0.023778,0.023855,unsat
14680253,0.039916,0.040004,unsat
14680270,0.078405,0.078452,unsat
14680272,0.037516,0.0379109,unsat
14680274,0.036144,0.036199,unsat
