benchmark_id,cpu_time,wallclock_time,result
15008605,0.03613,0.0359701,sat
15008607,156.868,156.889,sat
15008611,177.867,177.884,sat
15008612,0.108756,0.108564,sat
15008614,0.020186,0.020845,sat
15008615,354.554,354.632,sat
15008616,0.046362,0.0461551,sat
15008617,0.024281,0.024113,sat
15008618,0.131745,0.131592,sat
15008622,0.036901,0.036712,sat
15008624,0.028418,0.0282879,sat
15008628,134.841,134.866,sat
15008629,0.031923,0.0317499,sat
15008631,0.024867,0.024675,sat
15008632,0.034481,0.0343321,sat
15008633,167.157,167.183,sat
15008634,0.035714,0.0355589,sat
15008635,0.027393,0.0284539,sat
15008636,127.168,127.214,sat
15008639,202.873,202.878,sat
15008640,0.055375,0.055221,sat
15008642,0.282705,0.282583,sat
15008643,155.009,155.029,sat
15008644,133.643,133.709,sat
15008645,170.923,171.06,sat
15008647,168.572,168.646,sat
15008649,0.031452,0.0312869,sat
15008653,0.047875,0.0476909,sat
15008655,0.046057,0.0459081,sat
15008656,0.027395,0.027219,sat
15008657,0.030816,0.0306179,sat
15008659,0.055275,0.055077,sat
15008660,0.024117,0.0239819,sat
15008661,126.066,126.067,sat
15008663,0.028656,0.028572,sat
15008664,148.528,148.563,sat
15008665,124.277,124.288,sat
15008667,0.046301,0.0461461,sat
15008670,0.836981,0.836887,sat
15008671,0.042179,0.042041,sat
15008672,0.035051,0.0348861,sat
15008674,0.34057,0.340399,sat
15008675,1200.0,1200.0,starexec-unknown
15008677,0.022597,0.02239,sat
15008678,0.020394,0.0202161,sat
15008679,0.049842,0.049667,sat
15008681,0.182961,0.182778,sat
15008683,0.048747,0.0486149,sat
15008688,753.36,753.458,sat
15008689,0.268328,0.27019,sat
15008691,132.595,132.592,sat
15008693,0.158972,0.158778,sat
15008696,0.041971,0.041823,sat
15008697,0.171802,0.173874,sat
15008698,0.131869,0.131723,sat
15008700,0.169642,0.169486,sat
15008701,0.134953,0.134799,sat
15008702,127.011,127.077,sat
15008703,0.02372,0.0235691,sat
15008707,142.421,142.463,sat
15008709,137.768,137.779,sat
15008710,0.242437,0.242295,sat
15008711,0.029174,0.0290581,sat
15008714,0.039484,0.0392929,sat
15008715,183.543,183.544,sat
15008716,355.43,355.446,sat
15008718,0.021955,0.021766,sat
15008720,132.175,132.19,sat
15008721,139.392,139.445,sat
15008723,0.02364,0.023466,sat
15008724,0.073125,0.0729331,sat
15008725,1200.0,1200.0,starexec-unknown
15008726,0.029703,0.029568,sat
15008728,145.013,145.036,sat
15008729,0.027088,0.0269099,sat
15008731,927.678,927.788,sat
15008732,0.11163,0.111438,sat
15008733,228.842,228.881,sat
15008734,0.020569,0.020389,unsat
15008735,0.034041,0.03388,sat
15008736,0.024182,0.0239629,sat
15008740,125.298,125.307,sat
15008741,394.766,394.852,sat
15008742,131.063,131.068,sat
15008744,122.294,122.31,sat
15008745,124.321,124.473,sat
15008746,1200.0,1200.0,starexec-unknown
15008747,0.026221,0.0261541,sat
15008748,147.231,147.236,sat
15008750,1.28372,1.2835,sat
15008751,0.04615,0.045976,sat
15008758,1.43109,1.43084,sat
15008759,0.026405,0.0262189,sat
15008760,0.038929,0.038758,sat
15008761,0.025131,0.0249281,sat
15008762,0.059201,0.059055,sat
15008765,185.475,185.536,sat
15008766,0.022629,0.0226211,sat
15008768,0.018965,0.0187801,sat
15008771,120.219,120.248,sat
15008772,1200.0,1200.0,starexec-unknown
15008773,138.391,138.432,sat
15008778,1200.0,1200.0,starexec-unknown
15008780,1200.0,1200.0,starexec-unknown
15008784,1200.0,1200.0,starexec-unknown
15008786,347.405,347.472,unsat
15008787,1200.0,1200.0,starexec-unknown
15008788,1200.0,1200.0,starexec-unknown
15008793,212.428,212.443,unsat
15008794,1200.0,1200.0,starexec-unknown
15008795,1200.0,1200.0,starexec-unknown
15008796,1200.0,1200.0,starexec-unknown
15008797,173.138,173.147,sat
15008799,1200.0,1200.0,starexec-unknown
15008805,1199.12,1199.3,starexec-unknown
15008808,126.213,126.212,sat
15008810,442.756,442.888,sat
15008811,495.341,495.427,unsat
15008812,126.187,126.209,sat
15008814,1199.13,1199.32,starexec-unknown
15008819,364.363,364.427,sat
15008820,682.989,683.011,unsat
15008825,1200.0,1200.0,starexec-unknown
15008826,168.688,168.775,sat
15008830,1200.0,1200.0,starexec-unknown
15008838,371.712,371.755,sat
15008839,469.216,469.307,sat
15008841,1200.0,1200.0,starexec-unknown
15008845,124.746,124.761,sat
15008851,1200.0,1200.0,starexec-unknown
15008852,1200.0,1200.0,starexec-unknown
15008853,1199.74,1199.84,starexec-unknown
15008854,720.802,720.851,sat
15008855,1200.0,1200.0,starexec-unknown
15008858,1199.29,1199.54,starexec-unknown
15008859,135.611,135.622,sat
15008862,1200.0,1200.0,starexec-unknown
15008866,1200.0,1200.0,starexec-unknown
15008867,531.651,531.919,sat
15008868,134.909,134.928,sat
15008870,1199.39,1199.65,starexec-unknown
15008873,1199.14,1199.3,starexec-unknown
15008876,1199.46,1199.71,starexec-unknown
15008879,1200.0,1200.0,starexec-unknown
15008880,1199.19,1199.32,starexec-unknown
15008882,1200.0,1200.0,starexec-unknown
15008883,135.748,135.756,sat
15008885,501.036,501.087,sat
15008889,210.387,210.419,sat
15008890,1200.0,1200.0,starexec-unknown
15008891,1200.0,1200.0,starexec-unknown
15008895,144.941,145.019,sat
15008896,202.345,202.367,unsat
15008899,597.493,597.69,sat
15008903,1078.08,1078.18,unsat
15008905,1200.0,1200.0,starexec-unknown
15008908,1200.0,1200.0,starexec-unknown
15008909,1200.0,1200.0,starexec-unknown
15008910,1198.99,1199.24,starexec-unknown
15008912,272.618,272.679,unsat
15008913,214.434,214.447,sat
15008918,506.301,506.389,unsat
15008920,1200.0,1200.0,starexec-unknown
15008922,1080.32,1080.42,unsat
15008926,123.794,123.804,sat
15008927,604.945,604.972,sat
15008929,1200.0,1200.0,starexec-unknown
15008933,1200.0,1200.0,starexec-unknown
15008934,228.721,228.749,sat
15008935,1200.0,1200.0,starexec-unknown
15008936,1200.0,1200.0,starexec-unknown
15008937,167.833,167.864,sat
15008938,1200.0,1200.0,starexec-unknown
15008939,746.381,746.522,sat
15008941,1200.0,1200.0,starexec-unknown
15008942,1079.8,1079.98,unsat
15008944,1199.44,1199.68,starexec-unknown
15008948,1200.0,1200.0,starexec-unknown
15008949,205.481,205.541,sat
15008952,1200.0,1200.0,starexec-unknown
15008953,352.563,352.732,sat
15008956,1199.75,1199.9,starexec-unknown
15008958,1200.0,1200.0,starexec-unknown
15008960,64.6645,64.6748,sat
15008961,1.92546,1.92532,sat
15008966,0.775746,0.775592,sat
15008969,0.2674,0.267213,unsat
15008970,2.16288,2.16295,sat
15008973,0.035985,0.0357781,sat
15008974,0.92672,0.92656,sat
15008975,3.52537,3.52571,sat
15008976,0.184194,0.184022,sat
15008978,0.018719,0.0185069,unsat
15008979,122.788,122.813,sat
15008980,1199.08,1199.19,starexec-unknown
15008981,1200.0,1200.0,starexec-unknown
15008982,1.98755,1.98748,sat
15008983,147.42,147.442,sat
15008984,0.105277,0.105103,sat
15008986,1082.21,1082.24,unsat
15008988,1200.0,1200.0,starexec-unknown
15008991,0.224628,0.22447,unsat
15008997,89.0934,89.1049,sat
15008999,15.597,15.5979,sat
15009003,0.029787,0.0296161,unsat
15009007,0.262671,0.262515,unsat
15009008,1.74454,1.74444,unsat
15009010,1199.45,1199.61,starexec-unknown
15009015,0.436775,0.436639,sat
15009016,125.254,125.27,sat
15009019,39.694,39.6959,sat
15009020,147.643,147.651,sat
15009021,4.50412,4.50368,sat
15009025,0.385408,0.385231,sat
15009027,14.9424,14.9434,sat
15009030,0.076873,0.076694,sat
15009031,1199.55,1199.72,starexec-unknown
15009032,134.882,134.904,sat
15009034,1111.44,1111.59,unsat
15009037,1199.43,1199.64,starexec-unknown
15009042,0.453407,0.453268,sat
15009044,121.747,121.76,sat
15009048,0.126369,0.126379,unsat
15009050,1.12542,1.12521,sat
15009054,1199.29,1199.44,starexec-unknown
15009058,36.9207,36.9224,sat
15009059,131.436,131.458,sat
15009067,12.1057,12.106,sat
15009074,123.056,123.063,sat
15009077,7.58767,7.58836,sat
15009082,1200.0,1200.0,starexec-unknown
15009084,128.394,128.413,sat
15009085,124.905,124.912,sat
15009089,1199.01,1199.13,starexec-unknown
15009090,0.192061,0.191886,unsat
15009091,31.6585,31.6617,sat
15009092,2.03367,2.03365,sat
15009094,123.955,124.091,sat
15009095,0.037249,0.03708,sat
15009096,1199.55,1199.73,starexec-unknown
15009099,1200.0,1200.0,starexec-unknown
15009102,2.31555,2.31557,sat
15009110,0.777743,0.777644,unsat
15009113,122.433,122.452,sat
15009114,1199.36,1199.43,starexec-unknown
15009115,127.613,127.635,sat
15009117,0.436681,0.436522,sat
15009120,0.312516,0.312325,sat
15009124,1118.57,1119.0,unsat
15009126,3.15191,3.15218,sat
15009127,1199.12,1199.29,starexec-unknown
15009128,520.829,520.953,sat
15009130,0.083935,0.0837479,unsat
15009131,1.83141,1.83135,unsat
15009133,127.057,127.074,sat
15009134,0.189034,0.188843,sat
15009137,135.748,135.765,sat
15009138,1.63842,1.63849,sat
15009142,1199.14,1199.25,starexec-unknown
15009143,11.616,11.6162,sat
15009147,1.70098,1.70077,sat
15009148,11.3419,11.3429,sat
15009153,0.072069,0.071884,unsat
15009157,131.631,131.677,sat
15009159,0.953699,0.953587,sat
15009160,1079.46,1079.47,unsat
15009164,0.711715,0.711621,sat
15009165,0.038547,0.038397,sat
15009166,1199.11,1199.21,starexec-unknown
15009169,1.22861,1.22855,sat
15009170,0.06886,0.0686781,unsat
15009172,1.59644,1.59634,sat
15009176,0.803161,0.803021,sat
15009177,1.50587,1.50587,sat
15009179,1199.32,1199.43,starexec-unknown
15009183,14.0532,14.0548,sat
15009186,1199.76,1199.96,starexec-unknown
15009188,1199.24,1199.24,starexec-unknown
15009191,1199.49,1199.59,starexec-unknown
15009192,24.9702,24.9703,sat
15009193,0.236176,0.23603,unsat
15009194,1199.89,1199.98,starexec-unknown
15009196,20.573,20.5848,sat
15009198,145.102,145.13,sat
15009199,1200.0,1200.0,starexec-unknown
15009200,1199.18,1199.35,starexec-unknown
15009204,1080.05,1080.12,sat
15009206,187.176,187.216,sat
15009210,0.593268,0.593085,sat
15009213,1200.0,1200.0,starexec-unknown
15009215,3.74519,3.74495,sat
15009217,2.30738,2.30725,unsat
15009218,0.030242,0.030057,unsat
15009225,1199.23,1199.26,starexec-unknown
15009228,28.5896,28.5912,sat
15009229,0.032135,0.031931,unsat
15009232,3.47843,3.4785,sat
15009235,0.032444,0.032363,unsat
15009236,0.457741,0.457584,sat
15009238,1199.6,1199.73,starexec-unknown
15009239,1.17475,1.1746,sat
15009240,124.393,124.454,sat
15009243,1.02991,1.02976,sat
15009244,0.697757,0.697636,sat
15009245,1199.6,1199.83,starexec-unknown
15009247,0.056896,0.056716,unsat
15009248,0.562572,0.562526,unsat
15009250,9.75376,9.7542,sat
15009252,1199.18,1199.21,starexec-unknown
15009255,58.8193,58.8179,unsat
15009258,1200.0,1200.0,starexec-unknown
15009261,99.0802,99.0856,sat
15009262,1.34765,1.3477,unsat
15009264,1080.51,1080.57,unsat
15009266,1199.57,1199.76,starexec-unknown
15009267,0.064945,0.0647411,sat
15009268,1.62374,1.62354,sat
15009270,0.619227,0.619071,unsat
15009271,1199.69,1199.73,starexec-unknown
15009273,0.209708,0.209543,sat
15009275,122.644,122.654,sat
15009276,150.984,151.0,sat
15009277,0.133075,0.132925,unsat
15009279,0.028386,0.028216,unsat
15009281,0.072494,0.0722911,sat
15009284,21.1394,21.1439,sat
15009285,1198.68,1198.87,starexec-unknown
15009287,0.23975,0.239603,sat
15009289,2.37503,2.37515,unsat
15009290,4.7185,4.71887,sat
15009296,5.94536,5.94499,sat
15009298,1.08583,1.08807,unsat
15009301,1200.0,1200.0,starexec-unknown
15009303,1131.94,1131.98,sat
15009305,2.20513,2.20518,unsat
15009306,1200.0,1200.0,starexec-unknown
15009311,0.126216,0.12736,sat
15009312,1199.87,1199.98,starexec-unknown
15009313,8.26088,8.26073,sat
15009314,127.284,127.293,sat
15009317,0.085421,0.085229,unsat
15009319,0.080431,0.0804351,sat
15009320,1.38904,1.38891,unsat
15009323,0.206766,0.207096,unsat
15009324,1.29926,1.29914,unsat
15009325,2.29745,2.29834,sat
15009330,150.576,150.631,sat
15009331,3.7288,3.7288,unsat
15009333,0.091161,0.0910259,unsat
15009335,1200.0,1200.0,starexec-unknown
15009336,1.87968,1.87959,sat
15009338,1200.0,1200.0,starexec-unknown
15009341,1199.21,1199.23,starexec-unknown
15009343,1.20751,1.20746,sat
15009344,127.212,127.239,sat
15009345,0.100544,0.100338,sat
15009347,2.09913,2.09908,sat
15009350,124.278,124.288,sat
15009353,133.714,133.748,sat
15009354,0.205568,0.205377,unsat
15009357,1200.0,1200.0,starexec-unknown
15009358,1.20006,1.20508,unsat
15009359,0.38226,0.382102,unsat
15009360,0.517835,0.517744,sat
15009363,0.240783,0.240614,sat
15009368,149.798,149.806,sat
15009369,1.35756,1.35747,sat
15009370,1200.0,1200.0,starexec-unknown
15009374,1199.35,1199.37,starexec-unknown
15009375,9.56136,9.56174,sat
15009380,0.14551,0.145644,unsat
15009381,1184.92,1185.06,unsat
15009384,9.01715,9.01835,sat
15009385,0.263979,0.263836,unsat
15009387,1199.57,1199.75,starexec-unknown
15009393,1.10119,1.10111,unsat
15009394,1198.92,1199.15,starexec-unknown
15009395,1200.0,1200.0,starexec-unknown
15009397,0.031423,0.031238,sat
15009399,120.312,120.322,sat
15009400,0.155434,0.155264,sat
15009404,0.169257,0.169136,sat
15009405,1199.25,1199.24,starexec-unknown
15009409,122.793,122.801,sat
15009411,9.17354,9.1732,sat
