division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Equality+LinearArith,AUFLIRA,unsat,<=24s,no,151.217246,150.8455465,1505,2020-CVC4
Equality+LinearArith,AUFLIRA,unsat,>=24s,no,4085.5803,4143.4689,56,2020-CVC4
Equality+LinearArith,UFDTLIA,starexec-unknown,>=24s,no,98400.0,98400.0,82,2020-CVC4
Equality+LinearArith,UFDTLIA,unsat,<=24s,no,40.11477,40.1092816,26,2020-CVC4
Equality+LinearArith,UFDTLIA,unsat,>=24s,no,52828.0145,53999.366500000004,169,2020-CVC4
Equality+LinearArith,UFDTLIRA,sat,<=24s,no,1.245227,1.2562265,64,2020-CVC4
Equality+LinearArith,UFDTLIRA,starexec-unknown,<=24s,no,34.838023,34.7570856,888,2020-CVC4
Equality+LinearArith,UFDTLIRA,starexec-unknown,>=24s,no,8400.0,8400.0,7,2020-CVC4
Equality+LinearArith,UFDTLIRA,unsat,<=24s,no,133.374895,133.0800452,2170,2020-CVC4
Equality+LinearArith,UFIDL,sat,>=24s,no,486.795,533.252,1,2020-CVC4
Equality+LinearArith,UFIDL,starexec-unknown,<=24s,no,0.6183529999999999,0.719023,2,2020-CVC4
Equality+LinearArith,UFIDL,starexec-unknown,>=24s,no,9600.0,9600.0,8,2020-CVC4
Equality+LinearArith,UFIDL,unsat,<=24s,no,1.513216,1.5112197,9,2020-CVC4
Equality+LinearArith,UFLIA,sat,>=24s,no,480.548,480.794,1,2020-CVC4
Equality+LinearArith,UFLIA,starexec-unknown,<=24s,no,4.761802,4.955579999999999,11,2020-CVC4
Equality+LinearArith,UFLIA,starexec-unknown,>=24s,no,1458757.127,1458773.8025,1222,2020-CVC4
Equality+LinearArith,UFLIA,unsat,<=24s,no,1788.096537,1784.1857211,1425,2020-CVC4
Equality+LinearArith,UFLIA,unsat,>=24s,no,40032.0356,40549.9819,189,2020-CVC4
Equality+LinearArith,UFLRA,sat,>=24s,no,570.701,571.093,1,2020-CVC4
Equality+LinearArith,UFLRA,starexec-unknown,>=24s,no,4800.0,4800.0,4,2020-CVC4
Equality+LinearArith,UFLRA,unsat,<=24s,no,0.034784999999999996,0.0341431,2,2020-CVC4
Equality+NonLinearArith,AUFDTNIRA,starexec-unknown,<=24s,no,11.846231,11.8204787,125,2020-CVC4
Equality+NonLinearArith,AUFDTNIRA,starexec-unknown,>=24s,no,45600.0,45600.0,38,2020-CVC4
Equality+NonLinearArith,AUFDTNIRA,unsat,<=24s,no,47.522468,47.3666225,598,2020-CVC4
Equality+NonLinearArith,AUFDTNIRA,unsat,>=24s,no,500.904,501.012,1,2020-CVC4
Equality+NonLinearArith,AUFNIA,starexec-unknown,>=24s,no,3600.0,3600.0,3,2020-CVC4
Equality+NonLinearArith,AUFNIRA,sat,>=24s,no,486.685,556.129,1,2020-CVC4
Equality+NonLinearArith,AUFNIRA,starexec-unknown,<=24s,no,0.437913,0.436996,1,2020-CVC4
Equality+NonLinearArith,AUFNIRA,starexec-unknown,>=24s,no,290760.846,290765.11,243,2020-CVC4
Equality+NonLinearArith,AUFNIRA,unsat,<=24s,no,43.529238,43.5283781,29,2020-CVC4
Equality+NonLinearArith,AUFNIRA,unsat,>=24s,no,4991.1577,5106.8256,26,2020-CVC4
Equality+NonLinearArith,UFDTNIA,unsat,<=24s,no,7.40108,7.40123,1,2020-CVC4
Equality+NonLinearArith,UFDTNIRA,starexec-unknown,<=24s,no,8.268699,8.2622499,162,2020-CVC4
Equality+NonLinearArith,UFDTNIRA,starexec-unknown,>=24s,no,26400.0,26400.0,22,2020-CVC4
Equality+NonLinearArith,UFDTNIRA,unsat,<=24s,no,189.71663,189.6538283,1965,2020-CVC4
Equality+NonLinearArith,UFNIA,sat,<=24s,no,115.60888899999999,116.1868623,601,2020-CVC4
Equality+NonLinearArith,UFNIA,sat,>=24s,no,22067.1041,22366.4379,90,2020-CVC4
Equality+NonLinearArith,UFNIA,starexec-unknown,<=24s,no,50.444767999999996,51.208197,10,2020-CVC4
Equality+NonLinearArith,UFNIA,starexec-unknown,>=24s,no,3325899.9057,3325995.878,2834,2020-CVC4
Equality+NonLinearArith,UFNIA,unsat,<=24s,no,2677.780596,2656.2521853,2174,2020-CVC4
Equality+NonLinearArith,UFNIA,unsat,>=24s,no,104162.6003,109048.2009,569,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,sat,<=24s,no,109.30569299999999,109.3004755,55,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,sat,>=24s,no,2055.1543,2055.4305,9,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,starexec-unknown,>=24s,no,31200.0,31200.0,26,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,unsat,<=24s,no,19.682111,19.681812,6,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,unsat,>=24s,no,771.4047,771.5517,6,2020-CVC4
QF_Equality+NonLinearArith,QF_AUFNIA,sat,<=24s,no,3.080624,3.080368,2,2020-CVC4
QF_Equality+NonLinearArith,QF_AUFNIA,unsat,<=24s,no,19.0827,19.08191,7,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,sat,<=24s,no,15.497421,15.4741504,161,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,sat,>=24s,no,34.5724,34.5767,1,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,starexec-unknown,<=24s,no,6.496537,6.4941779,20,2020-CVC4
